store,websites,attribute_set,type,category_ids,sku,has_options,status,is_recurring,visibility,tax_class_id,ebizmarts_mark_visited,brands,remove_compare_link,cash_on_delivery,emi_option,free_home_delivery,hard_disk_drive_storage,graphic_card_memory,screen_details,cpu,storage_capacity,graphic_card_type,warranty,webcam,screen_size,segment,laptop_warranty_summary,laptop_screen_range,laptop_ram,laptop_operating_system,laptop_graphic_card_model,laptop_freebag,laptop_touchscreen,deal_on_active,deal_on,is_superdeal,laptop_processor,magebuzz_featured_product,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,offers,video,warrenty,product_label,model_no,cpu_speed,ram_type,hdd_type,card_reader,series_name,eb_code,laptop_optical_drive,laptop_colour,laptop_screen_type,laptop_adapter,laptop_battery,gr_ean,creareseo_discontinued,creareseo_discontinued_product,deals,pro_mainname,laptop_battery_backup,laptop_remark,nav_item_no,price,special_price,weight,msrp,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,gr_valid_through,description,short_description,meta_keyword,custom_layout_update,imp_desc,deals_desc,searchindex_weight,concated_description,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Laptops,simple,"3,60",OPNBNTF0232,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 15-3552(PENTIUM N3700/4GB/500GB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 15-3552(PENTIUM N3700/4GB/500GB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0228,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0226,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/500GB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 5558(CORE I3 5005U 2.00GHZ/4GB/500GB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0233,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL VOSTRO 14-3468(CORE I3 7100U 2.40GHZ/4GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL VOSTRO 14-3468(CORE I3 7100U 2.40GHZ/4GB/1TB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0238,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL VOSTRO 15-3568(CORE I3 6006U 2.00GHZ/4GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL VOSTRO 15-3568(CORE I3 6006U 2.00GHZ/4GB/1TB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0274,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"HP NOTEBOOK 15-AY005TX(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"HP NOTEBOOK 15-AY005TX(CORE I3 5005U 2.00GHZ/4GB/1TB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0225,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 5558(CORE I5 5250U 1.60GHZ/8GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 5558(CORE I5 5250U 1.60GHZ/8GB/1TB/DVD/15.6"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0229,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 13-5368(CORE I3 6100 2.30GHZ/4GB/1TB/NO DVD/13.3"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 13-5368(CORE I3 6100 2.30GHZ/4GB/1TB/NO DVD/13.3"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0230,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON 13-7359(CORE I5  6200 2.30GHZ/8GB/500GB/NO DVD/13.3"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON 13-7359(CORE I5  6200 2.30GHZ/8GB/500GB/NO DVD/13.3"")",0,simple,,
admin,base,Laptops,simple,"3,60",OPNBNTF0234,0,Disabled,No,"Catalog, Search",GST18,No,,Yes,Yes,No,Yes,,,,,,,6 Month Warranty.,,,,6 Month Warranty.,,,,,No,No,No,,No,,0,"DELL INSPIRON-5589(CORE I5 6200U 2.30GHZ/8GB/1TB/DVD/15.6"")",,,,,,,,,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,,,6 Month Warranty.,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,0,1,1,08/03/2017 11:17,,1,0,1,0,1,0,1,0,0,0,1,"DELL INSPIRON-5589(CORE I5 6200U 2.30GHZ/8GB/1TB/DVD/15.6"")",0,simple,,
