sku,qty
OPMBNTFB0647,70
OPMBNTFB0807,12
OPMBNTFB0108,5
OPMBNTFB0091,3
OPMBNTFB0550,3
OPMBNTFB0601,3
OPMBNTFB0122,2
OPMBNTFB0144,2
OPMBNTFB0274,2
OPMBNTFB0325,2
OPMBNTFB0631,2
OPMBNTF0555,1
OPMBNTF0655,1
OPMBNTF0704,1
OPMBNTFB0056,1
OPMBNTFB0082,1
OPMBNTFB0116,1
OPMBNTFB0136,1
OPMBNTFB0178,1
OPMBNTFB0200,1
OPMBNTFB0220,1
OPMBNTFB0232,1
OPMBNTFB0233,1
OPMBNTFB0431,1
OPMBNTFB0524,1
OPMBNTFB0541,1
OPMBNTFB0547,1
OPMBNTFB0569,1
OPMBNTFB0630,1
OPMBNTFB0690,1
OPMBNTFB0699,1
OPMBNTFB0733,1
OPMBNTFB0735,1
OPMBNTFB0764,1
OPMBNTFB0769,1
OPMBNTFB0770,1
opmbntfb0777,1
OPMBNTFB0781,1
OPMBNTFB0784,1
OPMBNTFB0791,1
OPMBNTFB0794,1
OPMBNTFB0802,1
OPMBNTFB0804,1
OPMBNTFB0812,1
