store,websites,attribute_set,type,category_ids,sku,status,visibility,tax_class_id,brands,laptop_processor,product_category_type,name,warrenty,model_no,weights,laptop_remark,weight,description,short_description,imp_desc,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,product_type_id,laptop_warranty_summary,laptop_battery,price,mapped_status
admin,base,Laptops,simple,"3,11",SYGNBQB0329,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-XPS M1330(Core 2 Duo 2.10GHz/4GB/320GB 13.3"")J81JDH1",15 Days Testing Warranty.,XPS M1330,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-XPS M1330(Core 2 Duo 2.10GHz/4GB/320GB 13.3"")J81JDH1",simple,15 Days Testing Warranty.,11.1v--48wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0330,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-RV509(Pentium p6200 2.13Ghz//6GB/500GB 15.6"")EZN393FB400149",15 Days Testing Warranty.,RV509,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Samsung-RV509(Pentium p6200 2.13Ghz//6GB/500GB 15.6"")EZN393FB400149",simple,15 Days Testing Warranty.,11.1V--4400mAh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0331,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,"Dell-Latitude E6410(Core I7 M640 2.80GHz/4GB/500GB 14.0"")B6WF7BS",15 Days Testing Warranty.,Latitude E6410,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Latitude E6410(Core I7 M640 2.80GHz/4GB/500GB 14.0"")B6WF7BS",simple,15 Days Testing Warranty.,11.1V--81Wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0332,2,"Catalog, Search",GST0.36,HP,,QCNBK-B,"HP-Pavillion TX1000(AMD Turion TL56 1.80GHz/2.5GB/160GB 13.0"")CNF7313BHJ",15 Days Testing Warranty.,Pavillion TX1000,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-Pavillion TX1000(AMD Turion TL56 1.80GHz/2.5GB/160GB 13.0"")CNF7313BHJ",simple,15 Days Testing Warranty.,7.2V-37Wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0333,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-XPS M1530(Pentium 4GB/250GB 14"")DVGX1BS",15 Days Testing Warranty.,XPS M1530,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-XPS M1530(Pentium 4GB/250GB 14"")DVGX1BS",simple,15 Days Testing Warranty.,11.1V--4400mAh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0334,2,"Catalog, Search",GST0.36,HP,Core i5,QCNBK-B,"HP-ENVY Sleek Book 4(Core I5 3317U 1.70GHz/4GB/500GB 14.0"")CND2392RRG",15 Days Testing Warranty.,ENVY Sleek Book 4,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"HP-ENVY Sleek Book 4(Core I5 3317U 1.70GHz/4GB/500GB 14.0"")CND2392RRG",simple,15 Days Testing Warranty.,In Build ,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0335,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,"Dell-INSP 7520(Core I7 3612QM 2.10GHz/8GB/No HDD 15.6"")5PCDVS1",15 Days Testing Warranty.,INSP 7520,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-INSP 7520(Core I7 3612QM 2.10GHz/8GB/No HDD 15.6"")5PCDVS1",simple,15 Days Testing Warranty.,11.1V--4080mAh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0336,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,Dell-Studio 1458(Core I5 2GB/160GB)7CY87BS,15 Days Testing Warranty.,Studio 1458,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Studio 1458(Core I5 2GB/160GB)7CY87BS,simple,15 Days Testing Warranty.,11.1V--56Wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0337,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-PP33L(Core 2 Duo T6400 2.00GHz/4GB/500GB 15.6"")29GW2BS",15 Days Testing Warranty.,PP33L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-PP33L(Core 2 Duo T6400 2.00GHz/4GB/500GB 15.6"")29GW2BS",simple,15 Days Testing Warranty.,11.1V--4400MAH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0338,2,"Catalog, Search",GST0.36,Samsung,,QCNBK-B,"Samsung-N148 PLUS(ATOM N455 1.66GHz/2GB/250GB 10"")ZWSF93LB401425B",15 Days Testing Warranty.,N148 PLUS,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Samsung-N148 PLUS(ATOM N455 1.66GHz/2GB/250GB 10"")ZWSF93LB401425B",simple,15 Days Testing Warranty.,11.1V--4200MAH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0339,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp N4010(Core I3 M350 2.27GHz/3GB/320GB 14"")51DB8R1",15 Days Testing Warranty.,Insp N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N4010(Core I3 M350 2.27GHz/3GB/320GB 14"")51DB8R1",simple,15 Days Testing Warranty.,11.1V--4400MAH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0340,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,"Dell-Insp PP20L(Core 2 Duo 1.73GHz/1GB/80GB 15"")J469WB1",15 Days Testing Warranty.,Insp PP20L,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp PP20L(Core 2 Duo 1.73GHz/1GB/80GB 15"")J469WB1",simple,15 Days Testing Warranty.,11.1V--53WH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0341,2,"Catalog, Search",GST0.36,Sony,Core i7,QCNBK-B,"Sony-PCG 41216W(Core I7 2640M 2.80GHz/4GB/750GB 14"")C60A4KV6",15 Days Testing Warranty.,PCG 41216W,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Sony-PCG 41216W(Core I7 2640M 2.80GHz/4GB/750GB 14"")C60A4KV6",simple,15 Days Testing Warranty.,11.1V--4400mAh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0342,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-Studio 1569(Core I5 M480 2.67GHz/4GB/500GB 15.4"")2N1FRQ1",15 Days Testing Warranty.,Studio 1569,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Studio 1569(Core I5 M480 2.67GHz/4GB/500GB 15.4"")2N1FRQ1",simple,15 Days Testing Warranty.,11.1V--66WH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0343,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,"Dell-Studio 1558(Core I7 740 1.73GHz/4GB/500GB 15.6"")655F6BS",15 Days Testing Warranty.,Studio 1558,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Studio 1558(Core I7 740 1.73GHz/4GB/500GB 15.6"")655F6BS",simple,15 Days Testing Warranty.,11.1V--56Wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0344,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-XPS L501X(Core I5 M460 2.53GHz/3GB/no hdd 15.6"")F1ML7BS",15 Days Testing Warranty.,XPS L501X,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-XPS L501X(Core I5 M460 2.53GHz/3GB/no hdd 15.6"")F1ML7BS",simple,15 Days Testing Warranty.,11.1V--4800MAH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0345,2,"Catalog, Search",GST0.36,Dell,Core i7,QCNBK-B,"Dell-Insp 14z-5423(Core I7 3537U 2.00GHz/4GB/500GB 14"")F62R7X1",15 Days Testing Warranty.,Insp 14z-5423,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp 14z-5423(Core I7 3537U 2.00GHz/4GB/500GB 14"")F62R7X1",simple,15 Days Testing Warranty.,Inbuild,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0346,2,"Catalog, Search",GST0.36,Dell,Core i3,QCNBK-B,"Dell-Insp N4010(Core I3 /4GB /320GB 14"")5J9D7BS",15 Days Testing Warranty.,Insp N4010,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-Insp N4010(Core I3 /4GB /320GB 14"")5J9D7BS",simple,15 Days Testing Warranty.,11.1V--48WH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0347,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,Dell-Latitude E5420(CORE I5-2526M / 2.50GHZ / 2GB / 500GB 14'')5MS08R1,15 Days Testing Warranty.,Latitude E5420,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-Latitude E5420(CORE I5-2526M / 2.50GHZ / 2GB / 500GB 14'')5MS08R1,simple,15 Days Testing Warranty.,11.1V---46WH,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0348,2,"Catalog, Search",GST0.36,Dell,,QCNBK-B,Dell-INSP 1525(Core 2 Duo 3GB/HDD Missing)7F0LNF1,15 Days Testing Warranty.,INSP 1525,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,Dell-INSP 1525(Core 2 Duo 3GB/HDD Missing)7F0LNF1,simple,15 Days Testing Warranty.,11.1V--48Wh,0.00,No
admin,base,Laptops,simple,"3,11",SYGNBQB0349,2,"Catalog, Search",GST0.36,Dell,Core i5,QCNBK-B,"Dell-XPS L501X(Core I5 M460 2.53GHz/4GB/500GB 15.6"")HRZK7BS",15 Days Testing Warranty.,XPS L501X,1,"This product is tested and certified to work and may have External Wear and Tear, Scratches. The product comes with relevant accessories only Charger and is backed by minimum 15 days of Testing Warranty.",1,<ul></ul>,<ul></ul>,<ul></ul>,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,"Dell-XPS L501X(Core I5 M460 2.53GHz/4GB/500GB 15.6"")HRZK7BS",simple,15 Days Testing Warranty.,11.1V--46Wh,0.00,No
